area,cell_label,file,mean_int,rbs,var_int
287.0,3.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos12.ome.tif,5152.266725154251,sd4,554533.1546187111
271.0,4.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos12.ome.tif,4749.133936577454,sd4,43462.506037480896
1070.0,5.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos12.ome.tif,4699.939831100185,sd4,40578.22870293256
403.0,6.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos12.ome.tif,4706.051070821983,sd4,40976.3638584882
377.0,1.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos19.ome.tif,4743.966339531866,sd4,46114.57960834028
497.0,2.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos19.ome.tif,4743.665367842901,sd4,56884.38054172405
287.0,3.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos19.ome.tif,4713.051682202074,sd4,42372.619082666
271.0,4.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos19.ome.tif,4735.925259679341,sd4,34390.15878366714
1070.0,5.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos19.ome.tif,4685.694022988363,sd4,42641.912854624214
403.0,6.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos19.ome.tif,4657.715929885305,sd4,48093.452754146674
377.0,1.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos3.ome.tif,4377.840591226943,sd4,48431.63448699906
497.0,2.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos3.ome.tif,4375.428067406284,sd4,44116.330290504535
287.0,3.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos3.ome.tif,4529.723330797412,sd4,45962.109865010956
271.0,4.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos3.ome.tif,4517.331035272678,sd4,38185.08492296092
1070.0,5.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos3.ome.tif,4552.800296473535,sd4,42279.0109301571
403.0,6.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos3.ome.tif,4444.624542944754,sd4,33444.38490861719
377.0,1.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos10.ome.tif,4837.222342928992,sd4,44205.25233013976
